oms_score,sex,race,pb,p1,p2,p3,p4,p5,ac,id
83.617477,M,1,MP,MP,MI,AR,TC,EN,1,714
83.610962,M,1,MI,MI,AR,MP,FA,EN,1,715
83.597794,M,1,MI,AR,MI,IN,TC,SC,1,716
83.596146,M,1,AG,AG,FI,QM,AD,TC,1,717
83.588882,M,1,FA,FA,AR,MP,EN,FI,1,718
83.568657,M,3,MS,MS,AG,QM,AD,OD,1,719
83.566734,M,1,MI,MI,FA,SC,EN,AR,1,720
83.563507,F,4,MS,MS,AG,FI,QM,EN,1,721
83.562019,M,1,MI,MI,AR,MP,EN,IN,1,722
83.561684,M,2,MS,AV,MS,MP,FA,EN,1,723
83.560066,M,1,QM,QM,FA,MI,AD,TC,1,724
83.557373,M,1,EN,EN,IN,QM,CM,MI,3,725
83.554901,M,1,AR,AR,MP,MS,IN,FA,1,726
83.547981,M,1,MI,MI,AR,SC,AG,AD,1,727
83.544174,M,1,EN,EN,IN,AR,MP,TC,4,728
83.528305,F,2,MP,MP,SC,MI,TC,QM,1,729
83.49971,M,2,FA,IN,FA,OD,EN,MP,1,730
83.493011,M,1,MS,MS,AG,CM,AD,SC,1,731
83.489876,M,1,EN,IN,EN,AR,FA,MI,3,732
83.467735,M,1,AR,IN,AR,FA,EN,AV,1,733
83.462242,M,1,EN,EN,IN,AR,MP,AD,4,734
83.450127,M,1,MP,IN,AR,MP,EN,FA,1,735
83.446732,M,1,MI,IN,MI,EN,MS,MP,3,736
83.439209,M,1,MS,MS,SC,TC,AR,MI,2,737
83.422752,M,4,EN,IN,EN,AR,SC,TC,2,738
83.418526,M,1,EN,AV,EN,MI,AR,QM,4,739
83.417679,M,1,MI,MI,IN,AR,EN,FA,2,740
83.414207,M,1,MI,MI,IN,AR,EN,FA,1,741
83.411018,M,3,SC,SC,MI,IN,QM,FA,2,742
83.404701,M,1,MI,AR,MI,EN,AD,FA,1,743
83.392776,M,1,AR,AR,MP,MI,IN,SC,1,744
83.392723,M,2,EN,IN,AR,EN,FA,AD,1,745
83.391335,M,1,EN,AR,EN,MI,IN,FA,1,746
83.390839,M,1,MS,MS,AR,FA,SC,MP,3,747
83.390572,M,1,MI,IN,AR,MI,EN,FA,1,748
83.387665,M,1,MI,MI,AR,EN,IN,MP,1,749
83.360832,M,1,FA,FA,AR,MP,IN,MI,1,750
83.359154,M,1,MS,AV,MS,IN,AR,EN,1,751
83.351791,F,1,MS,MS,SC,MI,EN,MP,1,752
83.350258,M,1,FA,AR,FA,AD,TC,MI,1,753
83.324745,F,1,MP,MP,MI,MS,EN,FA,3,754
83.319962,M,1,AR,AR,MI,MS,IN,MP,1,755
83.313873,M,1,EN,EN,TC,FA,AR,MP,1,756
83.313515,M,1,AR,AR,EN,MI,FA,MP,1,757
83.295425,M,1,MI,MI,SC,MP,AR,QM,1,758
83.261192,M,4,EN,IN,EN,MS,MP,FA,1,759
83.234383,M,1,OD,OD,MP,AR,MS,FI,2,760
83.230927,M,3,AG,AG,SC,MS,FA,FI,1,761
83.227783,M,1,EN,IN,EN,AR,FA,MP,1,762
83.227036,M,1,FI,FI,SC,AR,AG,QM,2,763
83.226105,M,1,AR,IN,AR,EN,AD,FA,3,764
83.213371,M,1,MI,IN,AR,MI,EN,AD,1,765
83.213318,F,1,MS,MS,AG,FI,MI,SC,3,766
83.204811,M,1,EN,EN,AD,MP,AR,QM,1,767
83.200699,M,1,AD,AD,SC,OD,EN,FA,1,768
83.199501,M,1,EN,IN,EN,FA,AD,MP,1,769
83.197517,M,1,MS,MS,AD,OD,MP,MI,2,770
83.181976,M,1,MI,AV,AR,MI,EN,SC,1,771
83.180962,M,2,MS,MS,IN,QM,AD,AR,1,772
83.179268,F,2,MS,MS,MI,SC,FA,AG,3,773
83.161797,M,1,EN,EN,FA,TC,SC,IN,1,774
83.158279,M,1,AG,AG,SC,FA,MS,QM,1,775
83.157745,M,1,EN,AV,EN,OD,MP,TC,3,776
83.153564,M,1,FA,FA,MP,AR,EN,IN,2,777
83.135551,M,1,AR,IN,AR,MI,SC,AD,1,778
83.107925,M,1,MI,MI,IN,AR,EN,FA,1,779
83.076775,M,2,FI,FI,AG,QM,EN,TC,3,780
83.0728,M,3,MI,MI,EN,SC,IN,FI,1,781
83.052498,M,1,MP,MP,AR,EN,MI,IN,1,782
83.043236,F,1,MP,MP,TC,MS,QM,AG,1,783
83.03656,M,1,MI,MI,IN,AG,MS,SC,2,784
83.034828,M,1,MP,MP,MI,IN,FA,AR,1,785
83.034737,F,1,QM,QM,AG,MI,OD,SC,1,786
83.022629,M,1,EN,IN,EN,AR,FA,MI,4,787
83.004982,M,1,MS,AV,MS,AG,MI,SC,2,788
82.991318,M,2,MI,MI,SC,IN,FI,AG,2,789
82.989769,M,1,FA,FA,MP,SC,QM,OD,1,790
82.9869,M,1,AG,AG,MS,MI,AD,TC,1,791
82.967278,M,1,MI,IN,MI,FA,EN,MP,1,792
82.962585,M,1,SC,SC,FA,QM,AR,MI,1,793
82.957245,M,1,FI,FI,EN,MI,IN,MP,2,794
82.934967,M,1,MI,IN,MI,OD,FA,MS,1,795
82.934792,M,1,MP,IN,MP,FA,AD,AR,1,796
82.933762,M,1,EN,IN,AR,EN,FA,MP,1,797
82.933182,M,1,FA,IN,AR,FA,EN,MI,2,798
82.927971,M,1,EN,EN,IN,FA,AR,SC,4,799
82.910332,M,1,TC,TC,MI,AD,QM,AG,1,800
82.902618,M,1,AD,IN,AR,AD,FA,FI,2,801
82.900116,M,3,MS,MS,AG,AD,QM,SC,3,802
82.868996,M,4,MP,MP,TC,AD,SC,MI,3,803
82.86676,M,1,FA,IN,AR,FA,MI,EN,2,804
82.865585,M,1,FA,IN,AR,FA,MP,EN,1,805
82.852577,M,3,MS,AV,MS,MI,SC,EN,3,806
82.850128,M,1,FA,IN,EN,FA,MI,AR,1,807
82.847923,M,1,FA,FA,EN,MI,IN,MP,2,808
82.833748,M,1,AR,IN,AR,EN,MP,MI,1,809
82.827217,M,2,MP,IN,AR,MP,FA,EN,1,810
82.815468,M,1,TC,TC,IN,EN,FA,AR,1,811
82.802238,M,1,MI,MI,IN,EN,AR,FA,1,812
82.790878,M,1,OD,EN,OD,AR,MI,IN,3,813
82.777313,F,1,MI,MI,MP,MS,FA,SC,1,814
82.775375,M,1,QM,QM,OD,AR,EN,MP,1,815
82.773972,M,1,AR,IN,AR,MI,SC,QM,1,816
82.761169,M,1,MS,MS,SC,EN,MI,OD,1,817
82.760628,M,1,AG,AG,FI,MI,AR,SC,2,818
82.72953,M,1,TC,TC,AR,MI,IN,QM,2,819
82.728378,M,1,EN,IN,EN,AR,MI,FA,4,820
82.714951,M,1,FI,EN,FI,SC,TC,AR,2,821
82.689255,M,1,MI,MI,SC,AG,EN,AD,1,822
82.686256,M,1,EN,EN,IN,FA,AR,SC,2,823
82.669044,M,1,MI,MI,IN,AR,EN,FA,1,824
82.660675,M,1,SC,SC,AR,FA,EN,MI,1,825
82.64431,M,1,AD,AD,AR,FA,SC,MI,1,826
82.634697,M,1,MS,MS,MI,QM,EN,CM,2,827
82.632118,M,4,MI,MI,SC,CM,AR,MS,3,828
82.628357,M,1,MI,IN,MI,FA,MP,EN,2,829
82.612541,M,1,EN,IN,EN,MP,OD,AR,1,830
82.611679,M,1,MI,MI,AV,SC,AG,EN,1,831
82.603783,M,1,AG,AG,SC,MI,EN,MP,2,832
82.598946,F,1,MS,AV,MS,MI,FI,SC,3,833
82.594193,M,3,MS,MS,QM,AD,AG,TC,1,834
82.589455,M,1,FA,FA,TC,QM,EN,AR,1,835
82.573669,M,1,MI,MI,AR,IN,FA,EN,1,836
82.569939,F,1,MI,MI,AD,MS,QM,OD,1,837
82.557236,M,1,MI,IN,MI,MP,FA,AD,1,838
82.549377,M,1,SC,IN,SC,MI,AR,EN,1,839
82.544411,M,4,SC,SC,IN,MP,FA,AR,1,840
82.540848,M,1,SC,EN,SC,MI,OD,FA,1,841
82.53727,M,1,SC,IN,SC,MI,EN,AR,2,842
82.523544,F,1,AG,AG,MI,FI,MP,SC,2,843
82.523148,F,1,MS,MS,MI,SC,AG,FI,1,844
82.514114,M,1,MI,MI,FA,MP,AR,IN,1,845
82.500175,M,1,FA,FA,AR,CM,OD,SC,1,846
82.495811,F,1,MI,MI,SC,AG,QM,MS,2,847
82.490562,M,1,MS,MS,EN,FA,IN,AD,3,848
82.487366,F,1,SC,SC,MS,TC,MP,AG,1,849
82.484856,M,1,AR,AR,AD,FA,IN,MP,1,850
82.483337,M,2,MI,MI,SC,AG,AR,FI,2,851
82.470413,M,1,EN,EN,OD,QM,AR,FA,4,852
82.465858,M,1,EN,IN,EN,FA,MP,MI,1,853
82.447655,M,1,MS,MS,MI,AV,EN,AG,1,854
82.442245,M,1,AG,AG,MS,QM,AD,FI,1,855
82.436554,M,1,MI,MI,AR,IN,SC,MP,1,856
82.414284,M,1,SC,IN,AR,SC,EN,MP,1,857
82.402977,M,2,MI,MI,EN,FI,SC,OD,1,858
82.402412,M,3,MS,MS,QM,AG,FA,FI,1,859
82.401489,M,2,MS,AV,MS,QM,EN,AG,1,860
82.396828,M,1,AR,AR,MP,EN,MI,FA,1,861
82.392647,M,1,MS,EN,MS,AR,IN,MI,3,862
82.392464,F,1,CM,EN,CM,SC,OD,TC,4,863
82.369553,M,1,MI,MI,FA,EN,AR,IN,4,864
82.344978,M,1,MI,IN,MI,EN,FA,AR,1,865
82.339287,M,1,MP,IN,MP,EN,AR,FA,1,866
82.336685,M,1,EN,AV,EN,FA,MP,AR,1,867
82.331436,F,4,MI,MI,MP,FA,EN,AD,1,868
82.331253,M,1,FA,AR,IN,FA,SC,EN,2,869
82.321922,M,3,AD,AD,EN,AR,MI,IN,1,870
82.315628,M,1,AG,AG,EN,MI,AV,OD,2,871
82.310013,M,4,MI,AV,MI,MS,EN,AR,1,872
82.298706,M,2,SC,AR,IN,SC,OD,MP,1,873
82.291771,M,1,FA,IN,FA,MP,EN,AR,1,874
82.277153,M,1,MI,MI,IN,SC,EN,AR,1,875
82.248276,M,1,MS,MS,AG,SC,AD,MP,1,876
82.222824,M,1,MS,AV,MS,EN,MP,AR,1,877
82.216255,M,1,MS,MS,AV,QM,AR,AG,1,878
82.177597,M,1,FA,FA,SC,AR,MI,IN,1,879
82.170631,M,2,FA,MP,FA,QM,SC,CM,1,880
82.150108,M,1,EN,EN,AR,SC,FA,AD,3,881
82.140373,M,1,SC,SC,QM,AD,AG,OD,1,882
82.135994,M,3,AG,AG,FI,QM,AR,AD,2,883
82.133659,M,1,MS,MS,MI,QM,AD,SC,1,884
82.124199,M,1,EN,EN,IN,FA,AR,MI,1,885
82.114601,M,1,FA,AR,FA,IN,EN,MI,1,886
82.103226,M,1,OD,AV,OD,SC,AR,FA,1,887
82.095833,M,2,MI,MI,EN,AD,MP,OD,1,888
82.090225,M,1,FA,MP,FA,IN,EN,MI,1,889
82.063324,M,1,FA,IN,EN,FA,SC,MI,1,890
82.06134,M,2,MS,MS,SC,AD,FA,MI,1,891
82.059563,M,1,TC,MS,MI,TC,AR,AG,1,892
82.042595,M,1,FI,MS,FI,FA,AG,QM,1,893
82.028641,M,1,SC,EN,SC,FA,MP,MI,1,894
81.983154,M,1,MI,MI,EN,MP,OD,FA,1,895
81.982735,M,1,MI,MI,IN,SC,FA,EN,1,896
81.980118,M,1,MS,AV,MS,OD,SC,TC,1,897
81.979118,M,1,MI,IN,MI,FA,EN,AD,1,898
81.976814,F,1,AD,AD,MI,MP,SC,AG,1,899
81.972488,M,1,FA,IN,AR,FA,MP,SC,3,900
81.964737,M,1,MI,MI,QM,EN,IN,AR,2,901
81.957336,M,1,OD,OD,QM,EN,MP,SC,2,902
81.927795,M,4,SC,AR,SC,AD,QM,FA,1,903
81.924248,M,1,MI,MI,AR,FA,MP,EN,1,904
81.892273,F,1,MI,MI,MS,AG,FI,SC,1,905
81.875771,M,1,MS,MS,AD,FA,MI,TC,1,906
81.873344,F,1,AD,AD,QM,MP,FA,FI,1,907
81.869827,M,1,SC,EN,MS,SC,IN,AR,4,908
81.845825,M,1,OD,EN,MP,OD,FA,IN,3,909
81.834778,M,3,AG,AG,QM,MP,AD,CM,1,910
81.826988,M,1,SC,IN,SC,AD,MP,EN,1,911
81.813812,M,1,SC,SC,EN,FA,MP,AD,1,912
81.793289,F,3,FI,FI,AG,QM,MS,MI,2,913
81.77137,M,1,MI,MI,AR,FA,EN,IN,1,914
81.766335,M,1,EN,IN,EN,SC,FA,AR,1,915
81.764893,M,1,FA,IN,FA,MP,AR,QM,1,916
81.758682,M,1,EN,AR,EN,FA,SC,AD,4,917
81.757957,M,1,MP,AR,MP,EN,FA,IN,3,918
81.749741,M,1,SC,SC,EN,FA,IN,TC,4,919
81.748619,M,1,MS,AV,MS,FA,CM,MP,1,920
81.734024,M,2,MS,MS,CM,MP,AR,MI,1,921
81.720932,M,1,SC,IN,SC,EN,FA,MP,1,922
81.709747,M,1,FI,FI,MI,FA,IN,SC,2,923
81.696243,M,1,MI,MI,SC,AD,EN,MS,1,924
81.691383,M,1,EN,AR,EN,FA,IN,CM,1,925
81.691238,M,3,SC,SC,MI,IN,QM,AG,4,926
81.69043,M,4,FA,IN,FA,EN,MP,SC,1,927
81.688461,M,2,AG,AG,MP,SC,EN,QM,1,928
81.687737,M,4,QM,EN,QM,MI,MP,AR,2,929
81.662193,M,1,MI,MI,EN,FA,IN,MP,1,930
81.65937,M,1,FA,MP,FA,EN,MI,AR,1,931
81.654945,F,4,SC,SC,EN,MI,OD,AG,4,932
81.654587,M,1,EN,EN,AR,SC,IN,MI,1,933
81.621941,M,1,EN,AV,EN,FA,MP,AD,1,934
81.600594,M,1,SC,AV,SC,TC,AR,AD,2,935
81.587631,M,1,FA,MS,EN,FA,SC,IN,1,936
81.579781,M,1,FA,FA,IN,EN,AD,AR,1,937
81.567375,F,2,MI,MI,SC,AG,FI,QM,2,938
81.557739,F,1,MI,MI,SC,FI,AG,AD,3,939
81.543404,M,1,FA,FA,AD,EN,MS,FI,2,940
81.53743,M,1,MP,IN,MP,AR,AD,MI,1,941
81.515816,M,1,SC,AR,SC,IN,MP,FA,1,942
81.504852,M,1,MI,IN,MI,AR,FA,AD,1,943
81.496681,M,1,SC,SC,EN,FA,MP,CM,1,944
81.496597,M,1,MI,MI,IN,AR,MP,AG,1,945
81.48938,M,1,EN,EN,AV,IN,MP,OD,4,946
81.486748,M,1,EN,IN,EN,MP,FA,AR,1,947
81.474846,M,1,FA,IN,AR,FA,EN,OD,1,948
81.468163,M,1,EN,IN,EN,AR,SC,FA,2,949
81.464851,M,1,MS,MS,MP,EN,MI,SC,1,950
81.461861,M,1,EN,IN,EN,FA,MP,AR,3,951
81.449432,M,1,AD,FI,MP,AD,MI,SC,2,952
81.448639,M,1,FA,IN,FA,AD,EN,CM,1,953
81.44313,M,2,MI,MI,MP,MS,FA,SC,1,954
81.437431,M,1,AD,AD,IN,FA,MI,EN,1,955
81.43454,M,1,SC,IN,SC,FA,AR,TC,1,956
81.424828,M,1,MI,MI,AR,FA,IN,MP,1,957
81.414619,M,4,SC,SC,EN,FA,MP,IN,3,958
81.370667,M,1,OD,AV,OD,MI,EN,AR,1,959
81.354576,M,1,MI,MI,AR,IN,MP,FA,1,960
81.338623,M,1,MP,AR,MP,EN,MS,SC,1,961
81.330566,F,1,QM,QM,MS,MP,AG,TC,2,962
81.327553,M,1,CM,CM,MP,TC,AR,MI,1,963
81.321808,M,1,MI,MI,EN,TC,QM,FA,1,964
81.319,M,4,TC,TC,SC,EN,MP,AR,1,965
81.3172,F,1,AD,MP,EN,AD,MI,OD,2,966
81.315384,M,1,FI,FI,AR,SC,TC,AG,2,967
81.30851,M,1,SC,IN,SC,AD,FA,AR,1,968
81.306908,M,1,SC,IN,SC,AD,EN,FA,1,969
81.246666,M,1,MI,MI,AR,FA,MP,AD,3,970
81.239174,M,1,FA,AR,FA,MI,MP,IN,1,971
81.234512,M,1,MI,MI,AR,MP,FA,SC,1,972
81.209236,M,4,FA,MI,EN,FA,AR,FI,2,973
81.203201,M,1,AD,AD,QM,TC,OD,AR,1,974
81.195282,M,1,FA,AR,EN,FA,IN,MI,1,975
81.194672,M,4,AG,MI,AG,QM,AD,MS,2,976
81.191719,M,1,EN,IN,EN,FA,SC,QM,1,977
81.183449,M,4,MP,IN,MP,EN,AR,SC,1,978
81.16716,M,1,EN,IN,EN,AR,MP,FA,1,979
81.166702,M,1,EN,IN,EN,AR,FA,MI,1,980
81.164063,M,1,FA,AR,FA,MP,IN,OD,3,981
81.163666,M,1,FA,AR,MI,FA,EN,SC,1,982
81.148994,F,1,AG,AG,MS,MI,QM,SC,1,983
81.135231,M,1,SC,IN,MI,SC,FA,EN,2,984
81.127228,M,1,AG,AG,SC,QM,AR,FI,1,985
81.126167,M,1,AG,AG,MS,QM,EN,TC,1,986
81.120148,M,1,MI,MI,AR,IN,EN,FA,1,987
81.114532,M,1,SC,SC,MI,FA,IN,MP,1,988
81.101044,M,1,TC,EN,MP,TC,FA,SC,4,989
81.094254,M,1,EN,AV,EN,MS,AR,IN,3,990
81.06572,M,1,AG,AG,QM,TC,AD,FI,1,991
81.061333,F,1,MI,MI,MS,MP,SC,FI,1,992
81.046417,M,1,FA,AR,FA,MP,AG,AD,2,993
81.035172,M,1,AD,IN,AR,AD,EN,FA,3,994
81.026978,M,1,MI,MI,EN,IN,AR,AD,1,995
81.008369,F,2,MS,MS,AG,FI,MI,CM,1,996
80.99881,F,1,AG,MS,AG,MI,QM,SC,1,997
80.984184,M,1,EN,EN,SC,MI,IN,AR,1,998
80.978806,F,1,MS,MS,MP,FA,SC,MI,3,999
80.977608,M,1,SC,SC,EN,AD,FA,AR,1,1000
80.938377,M,1,FA,IN,FA,EN,AR,MP,2,1001
80.910599,M,1,MS,MS,SC,MP,AR,AD,1,1002
80.901207,M,1,MI,MI,SC,EN,FA,MP,1,1003
80.899406,F,1,MP,MP,MI,MS,SC,EN,1,1004
80.896454,M,1,SC,AV,SC,IN,MS,EN,2,1005
80.894745,M,1,CM,CM,EN,MI,MP,IN,1,1006
80.879921,M,1,MI,MI,AG,EN,OD,IN,1,1007
80.87529,M,1,MS,AV,MS,EN,IN,MP,1,1008
80.862,F,1,TC,MS,TC,MP,SC,OD,3,1009
80.855522,M,1,FA,IN,AR,FA,MI,SC,3,1010
80.854012,F,4,SC,FI,SC,MS,EN,MI,3,1011
80.852196,M,3,FI,FI,QM,AD,CM,SC,2,1012
80.84256,F,1,MS,MS,AG,CM,SC,MI,3,1013
80.831673,M,1,AD,AD,SC,TC,AG,OD,2,1014
80.821152,M,1,SC,SC,AR,QM,MI,AD,2,1015
80.80246,M,1,OD,MI,OD,MP,EN,AR,2,1016
80.796211,M,2,AG,MS,AG,SC,IN,MP,1,1017
80.786568,M,1,AD,AV,AD,MI,SC,EN,2,1018
80.773788,M,4,SC,SC,MI,FA,AG,FI,3,1019
80.773094,F,2,MS,MS,QM,AG,EN,SC,1,1020
80.77224,M,2,MS,MS,FI,FA,AG,SC,2,1021
80.764458,M,1,SC,SC,FA,QM,TC,EN,2,1022
80.751923,M,1,AD,AD,MP,AR,FA,IN,1,1023
80.730331,M,1,SC,IN,SC,QM,FA,EN,2,1024
80.719231,M,1,FA,FA,AR,EN,IN,AD,3,1025
80.716873,F,1,MI,MI,MP,EN,OD,MS,1,1026
80.711433,M,1,MI,MI,EN,FA,AR,IN,1,1027
80.706772,M,1,MI,MI,AR,FA,IN,EN,1,1028
80.655083,M,1,MP,AR,MP,FA,IN,AD,1,1029
80.636208,M,1,EN,EN,OD,IN,AR,FA,3,1030
80.63282,M,1,EN,EN,IN,AR,FA,AD,1,1031
80.630165,M,2,SC,AV,SC,MS,AR,QM,2,1032
80.62413,M,1,AD,AD,SC,EN,FI,FA,1,1033
80.618423,M,1,FA,EN,FA,MS,AG,MI,4,1034
80.609306,M,1,SC,SC,IN,AR,MI,EN,3,1035
80.597153,F,2,MS,MS,MI,AG,FI,QM,1,1036
80.588867,M,1,SC,SC,EN,FA,FI,MI,3,1037
80.585602,M,1,QM,MI,QM,TC,AD,CM,1,1038
80.584,F,1,AG,EN,AG,QM,MI,SC,1,1039
80.571526,M,1,MI,AR,MI,SC,IN,MP,3,1040
80.562714,M,3,OD,MP,OD,AR,AD,FA,1,1041
80.557404,M,1,MI,MI,QM,AR,MP,TC,1,1042
80.545189,M,4,AG,MS,AG,SC,AR,QM,3,1043
80.523849,F,1,TC,MI,TC,MP,MS,AD,1,1044
80.520279,M,3,AG,MP,IN,AG,QM,EN,1,1045
80.519119,M,1,SC,IN,EN,SC,AR,FA,1,1046
80.517662,M,3,QM,QM,MS,OD,FA,AG,1,1047
80.502632,M,1,SC,SC,EN,AR,FA,MI,1,1048
80.500839,M,1,AD,AV,MS,AD,SC,AR,1,1049
80.491486,F,1,QM,QM,AG,SC,MP,OD,3,1050
80.476585,M,1,EN,IN,EN,AR,FA,MP,1,1051
80.472061,M,3,QM,QM,SC,MS,AD,AG,1,1052
80.471855,M,1,SC,MS,SC,EN,OD,MI,2,1053
80.468391,M,1,FA,AR,FA,EN,MP,MI,1,1054
80.457817,M,1,TC,EN,TC,QM,AR,FA,2,1055
80.451866,M,2,QM,QM,MI,IN,FI,AR,2,1056
80.451637,M,2,MI,MI,MP,AR,SC,EN,1,1057
80.450287,M,1,MI,MI,QM,AR,AG,MS,1,1058
80.448509,M,1,FA,FA,SC,AG,AV,EN,1,1059
80.445518,M,1,FA,FA,MP,OD,AR,IN,1,1060
80.440041,M,1,FA,AR,FA,AD,TC,IN,1,1061
80.431076,M,2,SC,AR,SC,FA,IN,AD,1,1062
80.428749,M,1,QM,QM,OD,EN,AR,SC,2,1063
80.409531,F,1,MS,MS,MI,AG,FI,SC,1,1064
80.401649,M,1,AD,AD,FA,AR,OD,QM,1,1065
80.399696,M,1,MI,MI,AR,FA,EN,MP,1,1066
80.391838,M,1,QM,AV,QM,AR,AD,CM,1,1067
